"RelativeCompactness","SurfaceArea","WallArea","RoofArea","OverallHeight","Orientation","GlazingArea","GlazingAreaDistribution","UnitId","HeatingLoad"
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,1.0,15.55
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,2.0,15.55
0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0,3.0,15.55
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,4.0,15.55
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,5.0,20.84
0.9,563.5,318.5,122.5,7.0,3.0,0.0,0.0,6.0,21.46
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,7.0,20.71
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,8.0,19.68
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,9.0,19.5
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,10.0,19.95
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,11.0,19.34
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,12.0,18.31
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0,13.0,17.05
0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0,14.0,17.41
0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0,15.0,16.95
0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0,16.0,15.98
0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0,17.0,28.52
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,18.0,29.9
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,19.0,29.63
0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0,20.0,28.75
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,21.0,24.77
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,22.0,23.93
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,23.0,24.77
0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0,24.0,23.93
0.74,686.0,245.0,220.5,3.5,2.0,0.0,0.0,25.0,6.07
0.74,686.0,245.0,220.5,3.5,3.0,0.0,0.0,26.0,6.05
0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,27.0,6.01
0.74,686.0,245.0,220.5,3.5,5.0,0.0,0.0,28.0,6.04
0.71,710.5,269.5,220.5,3.5,2.0,0.0,0.0,29.0,6.37
0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,30.0,6.4
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0,31.0,6.37
0.71,710.5,269.5,220.5,3.5,5.0,0.0,0.0,32.0,6.4
0.69,735.0,294.0,220.5,3.5,2.0,0.0,0.0,33.0,6.85
0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,34.0,6.79
0.69,735.0,294.0,220.5,3.5,4.0,0.0,0.0,35.0,6.77
0.69,735.0,294.0,220.5,3.5,5.0,0.0,0.0,36.0,6.81
0.66,759.5,318.5,220.5,3.5,2.0,0.0,0.0,37.0,7.18
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,38.0,7.1
0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,39.0,7.1
0.66,759.5,318.5,220.5,3.5,5.0,0.0,0.0,40.0,7.1
0.64,784.0,343.0,220.5,3.5,2.0,0.0,0.0,41.0,10.85
0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,42.0,10.54
0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,43.0,10.77
0.64,784.0,343.0,220.5,3.5,5.0,0.0,0.0,44.0,10.56
0.62,808.5,367.5,220.5,3.5,2.0,0.0,0.0,45.0,8.6
0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,46.0,8.49
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,47.0,8.45
0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,48.0,8.5
0.98,514.5,294.0,110.25,7.0,2.0,0.1,1.0,49.0,24.58
0.98,514.5,294.0,110.25,7.0,3.0,0.1,1.0,50.0,24.63
0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,51.0,24.63
0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,52.0,24.59
0.9,563.5,318.5,122.5,7.0,2.0,0.1,1.0,53.0,29.03
0.9,563.5,318.5,122.5,7.0,3.0,0.1,1.0,54.0,29.87
0.9,563.5,318.5,122.5,7.0,4.0,0.1,1.0,55.0,29.14
0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,56.0,28.09
0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,57.0,26.28
0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,58.0,26.91
0.86,588.0,294.0,147.0,7.0,4.0,0.1,1.0,59.0,26.37
0.86,588.0,294.0,147.0,7.0,5.0,0.1,1.0,60.0,25.27
0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,61.0,23.53
0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,62.0,24.03
0.82,612.5,318.5,147.0,7.0,4.0,0.1,1.0,63.0,23.54
0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,64.0,22.58
0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,65.0,35.56
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,66.0,37.12
0.79,637.0,343.0,147.0,7.0,4.0,0.1,1.0,67.0,36.9
0.79,637.0,343.0,147.0,7.0,5.0,0.1,1.0,68.0,35.94
0.76,661.5,416.5,122.5,7.0,2.0,0.1,1.0,69.0,32.96
0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,70.0,32.12
0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,71.0,32.94
0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,72.0,32.21
0.74,686.0,245.0,220.5,3.5,2.0,0.1,1.0,73.0,10.36
0.74,686.0,245.0,220.5,3.5,3.0,0.1,1.0,74.0,10.43
0.74,686.0,245.0,220.5,3.5,4.0,0.1,1.0,75.0,10.36
0.74,686.0,245.0,220.5,3.5,5.0,0.1,1.0,76.0,10.39
0.71,710.5,269.5,220.5,3.5,2.0,0.1,1.0,77.0,10.71
0.71,710.5,269.5,220.5,3.5,3.0,0.1,1.0,78.0,10.8
0.71,710.5,269.5,220.5,3.5,4.0,0.1,1.0,79.0,10.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,1.0,80.0,10.75
